freq. /Hz,Z1 /ohm,Z2 /ohm
1.00E+04,6.75E-02,3.18E-03
7.94E+03,6.75E-02,1.55E-03
6.31E+03,6.90E-02,4.18E-05
5.01E+03,6.94E-02,-1.26E-03
3.98E+03,6.99E-02,-2.42E-03
3.16E+03,7.07E-02,-3.48E-03
2.51E+03,7.15E-02,-4.40E-03
2.00E+03,7.25E-02,-5.18E-03
1.59E+03,7.35E-02,-5.83E-03
1.26E+03,7.45E-02,-6.45E-03
1.00E+03,7.57E-02,-6.73E-03
7.94E+02,7.69E-02,-7.11E-03
6.31E+02,7.81E-02,-7.51E-03
5.01E+02,7.94E-02,-7.72E-03
3.98E+02,8.07E-02,-7.88E-03
3.16E+02,8.18E-02,-8.13E-03
2.51E+02,8.30E-02,-8.20E-03
2.00E+02,8.43E-02,-8.24E-03
1.59E+02,8.56E-02,-8.27E-03
1.26E+02,8.69E-02,-8.27E-03
1.00E+02,8.82E-02,-8.11E-03
7.94E+01,8.97E-02,-7.75E-03
6.31E+01,9.09E-02,-7.59E-03
5.20E+01,9.19E-02,-7.36E-03
3.98E+01,9.33E-02,-7.01E-03
3.16E+01,9.44E-02,-6.65E-03
2.51E+01,9.54E-02,-6.26E-03
2.00E+01,9.63E-02,-5.89E-03
1.59E+01,9.72E-02,-5.44E-03
1.26E+01,9.80E-02,-5.02E-03
1.00E+01,9.87E-02,-4.57E-03
7.94E+00,9.93E-02,-4.14E-03
6.31E+00,9.98E-02,-3.71E-03
5.01E+00,1.00E-01,-3.27E-03
3.98E+00,1.01E-01,-2.96E-03
3.16E+00,1.01E-01,-2.60E-03
2.51E+00,1.01E-01,-2.44E-03
2.00E+00,1.01E-01,-2.22E-03
1.59E+00,1.02E-01,-2.09E-03
1.26E+00,1.02E-01,-2.00E-03
1.00E+00,1.02E-01,-1.91E-03
7.94E-01,1.02E-01,-1.94E-03
6.31E-01,1.02E-01,-1.89E-03
5.01E-01,1.03E-01,-1.94E-03
3.98E-01,1.03E-01,-2.13E-03
3.16E-01,1.03E-01,-2.14E-03
2.51E-01,1.03E-01,-2.50E-03
2.00E-01,1.04E-01,-2.64E-03
1.59E-01,1.04E-01,-3.05E-03
1.26E-01,1.04E-01,-3.33E-03
1.00E-01,1.04E-01,-3.71E-03
7.94E-02,1.05E-01,-4.32E-03
6.31E-02,1.05E-01,-4.74E-03
5.01E-02,1.06E-01,-5.61E-03
3.98E-02,1.06E-01,-6.27E-03
3.16E-02,1.07E-01,-7.07E-03
2.51E-02,1.08E-01,-8.47E-03
2.00E-02,1.09E-01,-9.88E-03
1.59E-02,1.10E-01,-1.09E-02
1.26E-02,1.11E-01,-1.22E-02
1.00E-02,1.13E-01,-1.37E-02
